abandon, [əˋbændən] vt.放棄，中止
expand, [ɪkˋspænd] vt.vi.展開，張開(帆，翅)；使膨脹
fluent, [ˋfluənt] a.流利的，流暢的
flunk, [flʌŋk] vt.vi.使(某人)不及格；通不過(考試等)
expansion, [ɪkˋspænʃən] n.擴展；擴張；膨脹
flush, [flʌʃ] vi.湧流；(臉)發紅 vt.用水沖洗；使發紅 n.沖洗；紅光；紅暈
explanation, [͵ɛkspləˋneʃən] n.說明，解釋
explore, [ɪkˋsplor] vt.vi.探測；探勘；探索
foam, [fom] n.泡沫；滅火泡沫[U] vi.起泡
explosion, [ɪkˋsploʒən] n.爆發；爆炸；擴張，劇增
forbid, [fɚˋbɪd] vt.禁止，不許[+v-ing]
explosive, [ɪkˋsplosɪv] a.爆炸(性)的 n.爆炸物；炸藥
forecast, [ˋfor͵kæst] n.vt.vi.預測，預報
formation, [fɔrˋmeʃən] n.形成，構成；構成物；隊形
expose, [ɪkˋspoz] vt.使暴露於；使接觸到；揭發
formula, [ˋfɔrmjələ] n.慣用語句；慣例；配方，處方【數】公式；方程式；【化】分子式
exposure, [ɪkˋspoʒɚ] n.暴露；暴曬[U]；揭發
extend, [ɪkˋstɛnd] vt.vi.延長，延伸；擴大，擴展
fort, [fort] n.堡壘，要塞
extent, [ɪkˋstɛnt] n.廣度，寬度；程度；限度；範圍
fortunate, [ˋfɔrtʃənɪt] a.幸運的，僥倖的
fossil, [ˋfɑs!] n.化石；頑固不化的人
facial, [ˋfeʃəl] a.臉的；面部的 n.臉部按摩
foundation, [faʊnˋdeʃən] n.建立，創辦；基礎；基本設施[C]原則；基金會；(建築物的)地基
facility, [fəˋsɪlətɪ] n.能力，技能[U]；設備，
faithful, [ˋfeθfəl] a.忠實的；忠誠的
founder, [ˋfaʊndɚ] n.創立者；奠基者
fame, [fem] n.聲譽，名望 [U]
fragrance, [ˋfregrəns] n.芬芳；香味；香氣
fantastic, [fænˋtæstɪk] a.【口】極好的，了不起的，難以置信的，驚人的
fragrant, [ˋfregrənt] a.香的，芳香的
frame, [frem] n.架構，骨架；結構；框架，框子
fantasy, [ˋfæntəsɪ] n.空想；幻想；夢想；空
freeway, [ˋfrɪ͵we] n.【美】高速公路
frequency, [ˋfrikwənsɪ] n.頻率，次數
gracious, [ˋgreʃəs] a.親切的；和藹的；慈祥的
freshman, [ˋfrɛʃmən] n.(大學等的)一年級生；新人
graduation, [͵grædʒʊˋeʃən] n.畢業[U]；畢業典禮[C]
frost, [frɑst] n.霜 vt.vi.結霜
frown, [fraʊn] vi.vt.n.皺眉；表示不滿
grammar, [ˋgræmɚ] n.文法[U]
frustration, [͵frʌsˋtreʃən] n.挫折，失敗
grammatical, [grəˋmætɪk!] a.文法的；文法正確的
fuel, [ˋfjʊəl] n.燃料 vt.vi.對…供給燃料；激起；刺激
grapefruit, [ˋgrep͵frut] n.葡萄柚
fulfill, [fʊlˋfɪl] vt.執行(命令等)；履行(諾言等)完成(任務等)；實現
grateful, [ˋgretfəl] a.感謝的，感激的
gratitude, [ˋgrætə͵tjud] n.感恩，感謝
grave, [grev] n.墓穴；埋葬處
fulfillment, [fʊlˋfɪlmənt] n.完成，履行；實現
grave, [grev] a.重大的；嚴重的；嚴肅的，認真的
functional, [ˋfʌŋkʃən!] a.機能的
fundamental, [͵fʌndəˋmɛnt!] a.基礎的；根本的
greasy, [ˋgrizɪ] a.油汙的，油膩的；油滑的
greeting(s), [ˋgritɪŋ(s)] n.問候，招呼；(生日等的)祝願詞
funeral, [ˋfjunərəl] n.葬禮；葬儀
furious, [ˋfjʊərɪəs] a. 狂怒的；狂暴的，猛烈的
grief, [grif] n.悲痛，悲傷
grieve, [griv] vt.vi.(使)悲傷；(使)苦惱
furnish, [ˋfɝnɪʃ] vt.給(房間)配置(傢俱等)；裝備；供應
grind, [graɪnd] vt.vi.磨(碎)；碾(碎)
furthermore, [ˋfɝðɚˋmor] adv.而且，此外
guarantee, [gæ rənˋti] n.保證；商品保證；保證書 vt.保證；擔保
gallery, [ˋgælərɪ] n.畫廊，美術館
gangster, [ˋgæŋstɚ] n.(結成團伙的)歹徒，匪盜、流氓
guilt, [gɪlt] n.有罪；犯罪；過失；內疚
gaze, [gez] vi.n.凝視，注視，盯
guilty, [ˋgɪltɪ] a.有罪的，犯…罪的[(+of)]
gear, [gɪr] n.齒輪；傳動裝置；(汽車)排檔；工具；設備，裝置；(飛機的)起落架
gulf, [gʌlf] n.海灣
habitual, [həˋbɪtʃʊəl] a.習慣的，習以為常的
halt, [hɔlt] n.vt.vi.暫停，停止；終止
gene, [dʒin] n.【生】基因，遺傳因子
handwriting, [ˋhænd͵raɪtɪŋ] n.筆跡；書寫；手寫
generation, [͵dʒɛnəˋreʃən] n.世代，一代；產生、發生
harden, [ˋhɑrdn] vt.vi.(使)變硬；(使)變堅固
generosity, [͵dʒɛnəˋrɑsətɪ] n.寬宏大量；慷慨
hardship, [ˋhɑrdʃɪp] n.艱難，困苦
genius, [ˋdʒinjəs] n.天資，天賦 [U]；天才，英才[C]
hardware, [ˋhɑrd͵wɛr] n.金屬器件，五金器具；【電腦】硬體
genuine, [ˋdʒɛnjʊɪn] a.真的，非偽造的；真誠的
harmonica, [hɑrˋmɑnɪkə] n.口琴
germ, [dʒɝm] n.細菌；微生物
harmony, [ˋhɑrmənɪ] n.和睦；和諧；和聲
gifted, [ˋgɪftɪd] a.有天資的，有天賦的
harsh, [hɑrʃ] a.粗糙的；刺耳的；澀口的；刺鼻的
gigantic, [dʒaɪˋgæntɪk] a. 巨大的；巨人的
giggle, [ˋgɪg!] n.vi 咯咯地笑；傻笑[(+at)]
haste, [hest] n.急忙，迅速
ginger, [ˋdʒɪndʒɚ] n.薑；【口】精力，活力
hasten, [ˋhesn] vt.vi.催促；加速
glide, [glaɪd] n.vt.vi.滑動，滑行
hatred, [ˋhetrɪd] n.憎恨，增惡；敵意
glimpse, [glɪmps] n.vi.vt.瞥見；一瞥
headphone(s), [ˋhɛd͵fon] n.頭戴式耳機
globe, [glob] n.球；球狀物；地球儀
healthful, [ˋhɛlθfəl] a.有益於健康的
glorious, [ˋglorɪəs] a.光榮的，榮耀的
helicopter, [ˋhɛlɪkɑptɚ] n.直升機
goods, [gʊdz] n.商品；貨物
herd, [hɝd] n.畜群；牧群
grace, [gres] n.優美；優雅；(票據到期後的)寬限[U]；(神的)恩典
hesitation, [͵hɛzəˋteʃən] n.躊躇，猶豫
highly, [ˋhaɪlɪ] adv.非常，很，高度地
homeland, [ˋhom͵lænd] n.祖國；故國；家鄉
honeymoon, [ˋhʌnɪ͵mun] n.蜜月(假期、旅行)
graceful, [ˋgresfəl] a.優美的，雅緻的
honorable, [ˋɑnərəb!] a.可尊敬的；高尚的；光榮的
impact, [ɪmˋpækt] vt.vi.衝擊，撞擊
hook, [hʊk] n.鉤，掛鉤，魚鉤；鉤拳；鉤射
impact, [ˋɪmpæ kt] n.衝擊，撞擊，碰撞[
hopeful, [ˋhopfəl] a.有希望的；有前途的
imply, [ɪmˋplaɪ] vt.暗指；暗示
horizon, [həˋraɪzn] n.地平線；眼界；(知識、經驗的)範圍
impression, [ɪmˋprɛʃən] n.印象[C][U][(+on)]
incident, [ˋɪnsədnt] n.事件；事變[C]；插曲[C]
horrify, [ˋhɔrə͵faɪ] vt.使恐懼，使驚懼
including, [ɪnˋkludɪŋ] prep.包括；包含
hose, [hoz] n.軟管；(軟)水管
indication, [͵ɪndəˋkeʃən] n.指示；指點；徵兆；跡象
host, [host] n.主人；旅館老板；節目主持人【生】寄主，宿主vt.作…主人，主辦，主持
industrialize, [ɪnˋdʌstrɪəl͵aɪz] vt.vi.(使)工業化
infant, [ˋɪnfənt] n.嬰兒
infect, [ɪnˋfɛkt] vt.【醫】傳染；感染
hostel, [ˋhɑst!] n.(青年)旅舍
infection, [ɪnˋfɛkʃən] n.傳染；侵染[U]
household, [ˋhaʊs͵hold] n.一家人；家眷；家庭
inflation, [ɪnˋfleʃən] n.通貨膨脹[U][C]；充氣；膨脹[U]
housewife, [ˋhaʊs͵waɪf] n.家庭主婦
influential, [͵ɪnflʊˋɛnʃəl] a.有影響力的；有權勢的
housework, [ˋhaʊs͵wɝk] n.家事[U]
humanity, [hjuˋmænətɪ] n.人性；人道；(總稱)人；人類；人文學科
information, [͵ɪnfɚˋmeʃən]n.消息；情報；資訊[U]；詢問處
humidity, [hjuˋmɪdətɪ] n.濕氣，濕度[U]
informative, [ɪnˋfɔrmətɪv] a.教育性的；見聞廣博的
hurricane, [ˋhɝɪ͵ken] n.颶風，暴風雨
hydrogen, [ˋhaɪdrədʒən] n.【化】氫[U]
ingredient, [ɪnˋgridɪənt] n.(烹調的)原料；(混合物的)組成部分
iceberg, [ˋaɪs͵bɝg] n.冰山；冷峻的人
identical, [aɪˋdɛntɪk!] a.同一的；完全相同的；(雙胞)同卵的
initial, [ɪˋnɪʃəl] a.開始的，最初的 n.(字的)起首字母
identification, [aɪ͵dɛntəfəˋkeʃən] n.認出；識別；身分證明；身分證
innocence, [ˋɪnəsns] n.無罪；清白；天真無邪，純真
identify, [aɪˋdɛntə͵faɪ] vt.確認；識別 vi.認同
input, [ˋɪn͵pʊt] n.vt.投入；輸入
insert, [ɪnˋsɝt] vt.插入；嵌入
idiom, [ˋɪdɪəm] n.慣用語；成語
inspection, [ɪnˋspɛkʃən] n.檢查，檢驗
idle, [ˋaɪd!] a.閒置的；空閒的；懶惰的；無所事事的
inspiration, [͵ɪnspəˋreʃən] n.靈感[U]；鼓舞人心的人(或事物)[C]
idol, [ˋaɪd!] n.偶像；受崇拜之人(或物)
inspire, [ɪnˋspaɪr] vt.vi.鼓舞，激勵
ignorant, [ˋɪgnərənt] a.無知的，不學無術的；不知道的
install, [ɪnˋstɔl] vt.安裝，設置
instinct, [ˋɪnstɪŋkt] n.本能；天性[(+to-v)]；直覺
illustrate, [ˋɪləstret] vt.(用圖，實例等)說明，闡明
instruct, [ɪnˋstrʌkt] vt.指示，命令；教授；訓練
illustration, [ɪ͵lʌsˋtreʃən] n.說明，圖示[U]；實例；插圖[C]
instructor, [ɪnˋstrʌktɚ] n.教員；指導者；【美】大學講師
imaginable, [ɪˋmædʒɪnəb!] a.可想像得到的
imaginary, [ɪˋmædʒə͵nɛrɪ] a.想像中的；虛構的
insult, [ɪnˋsʌlt] vt.侮辱，羞辱
insurance, [ɪnˋʃʊrəns] n.保險；保險契約[U]
imaginative, [ɪˋmædʒə͵netɪv] a.有想像力的
intellectual, [͵ɪnt!ˋɛktʃʊəl] a.智力的；理智的 n.知識分子
imitate, [ˋɪmə͵tet] vt.模仿
imitation, [͵ɪməˋteʃən] n.模仿，模擬[U]；仿製品；贗品[C]
intelligence, [ɪnˋtɛlədʒəns] n.智慧；情報 [U]
intelligent, [ɪnˋtɛlədʒənt] a.聰明的；明智的
immigrant, [ˋɪməgrənt] n.(外來)移民，僑民[C]a.移入的
intend, [ɪnˋtɛnd] vt.想要；打算[+to-v][+v-ing][+(that)]
immigrate, [ˋɪmə͵gret] vi.遷移；遷入
intense, [ɪnˋtɛns] a.強烈的，劇烈的；熱情的
immigration, [͵ɪməˋgreʃən] n.移居；【美】(總稱)(外來的)移民
intensify, [ɪnˋtɛnsə͵faɪ] vt.vi.加強，增強
intensity, [ɪnˋtɛnsətɪ] n.(思想、感情、活動等的)強烈； (電、熱、光、聲等的)強度
lately, [ˋletlɪ] adv.最近，近來
intensive, [ɪnˋtɛnsɪv] a.加強的；密集的
launch, [lɔntʃ] vt.n.使(船)下水；發射；投擲；使升空
intention, [ɪnˋtɛnʃən] n.意圖，意向，目的
interact, [͵ɪntəˋrækt] vt.vi.互動； 互相作用
lawful, [ˋlɔfəl] a. 合法的；法定的
interaction, [͵ɪntəˋrækʃən] n.互動； 互相作用
lead, [lid] vt.vi.n.引導；領(路) [lɛd] n.鉛
interfere, [͵ɪntɚˋfɪr] vt.vi.妨礙；衝突[(+with)]
intermediate, [͵ɪntɚˋmidɪət] a.中間的，中等程度的
lean, [lin] n.vi.vt.傾斜；倚，靠
lean, [lin] a.瘦的；無收成的
Internet, [ˋɪntɚnɛt] n.【電腦】網際網路
learned, [ˋlɝnɪd] a.有學問的，博學的
learning, [ˋlɝnɪŋ] n.學習；學問
interpret, [ɪnˋtɝprɪt] vt.vi.解釋，說明，詮釋；口譯
lecture, [ˋlɛktʃɚ] n.授課；演講；訓話，告誡vi.演講；講課 vt.給…講課；訓斥
interruption, [͵ɪntəˋrʌpʃən] n.中止；阻礙；干擾
lecturer, [ˋlɛktʃərɚ] n.講演者
legend, [ˋlɛdʒənd] n.傳說；傳奇故事；傳奇人物[C]
intimate, [ˋɪntəmɪt] a.親密的，熟悉的[(+with)]
intonation, [͵ɪntoˋneʃən] n.語調；聲調
leisurely, [ˋliʒɚlɪ] a.從容不迫的，悠閒的 adv.從容不迫地，慢慢地
invade, [ɪnˋved] vt.vi.侵入，侵略；侵犯
invasion, [ɪnˋveʒən] n.侵入，侵略；侵犯
license, [ˋlaɪsns] n.執照，牌照；許可證
invention, [ɪnˋvɛnʃən] n.發明，創造[U]；發明物，創作品[C]
lighten, [ˋlaɪtn] vt.vi.變亮；發亮
limitation, [͵lɪməˋteʃən] n.限制，極限，限度
invest, [ɪnˋvɛst] vt.vi.投(資)[(+in)]
liquor, [ˋlɪkɚ] n.酒；含酒精飲料[U][C]
investment, [ɪnˋvɛstmənt] n.投資；投資額
literary, [ˋlɪtə͵rɛrɪ] a.文學的，文藝的；文言的
investigation, [ɪn͵vɛstəˋgeʃən] n.研究；調查
involve, [ɪnˋvɑlv] vt.使捲入，連累；牽涉[(+in/with)]
literature, [ˋlɪtərətʃɚ] n.文學；文獻[U]
loan, [lon] n.借出；貸款[C]
involvement, [ɪnˋvɑlvmənt] n.捲入，連累；牽涉
location, [loˋkeʃən] n.位置；場所，所在地[C]
locker, [ˋlɑkɚ] n.(體育館等公共場所的)衣物櫃
isolate, [ˋaɪs!͵et] vt.vi.使孤立；使脫離
isolation, [͵aɪs!ˋeʃən] n.隔離；孤立;脫離；絕緣
logic, [ˋlɑdʒɪk] n.邏輯；邏輯學
logical, [ˋlɑdʒɪk!] a.合邏輯的；合理的
itch, [ɪtʃ] n.vi.vt.(發)癢
lotion, [ˋloʃən] n.(化妝等用的)化妝水，護膚液
jealousy, [ˋdʒɛləsɪ] n.妒忌；猜忌
junior, [ˋdʒunjɚ] a.年紀較輕的；資淺的；(大學)三年級(生)的n.較年少者；晚輩
lousy, [ˋlaʊzɪ] a.【俚】不潔的；卑鄙的；討厭的
loyal, [ˋlɔɪəl] a.忠誠的，忠心的
keen, [kin] a.熱心的，熱衷的；渴望的；敏銳的
loyalty, [ˋlɔɪəltɪ] n.忠誠；忠心[U]
lunar, [ˋlunɚ] a.月的；月球上的；陰曆的
knuckle, [ˋnʌk!] n.指(根)關節
luxurious, [lʌgˋʒʊrɪəs] a.奢侈的；驕奢淫逸的
labor, [ˋlebɚ] n.勞動[U]；勞工 [U]；陣痛[U] vi.勞動
luxury, [ˋlʌkʃərɪ] n.奢侈，奢華[U]；奢侈品[C]
machinery, [məˋʃinərɪ] n.機器；機械 [U]
laboratory, [ˋlæbrə͵torɪ] n.實驗室，研究室
madam, [ˋmædəm] n.(對婦女的敬稱)夫人，太太，小姐(ma’am [mæm])
lag, [læ g] n.vi.vt.走得慢；落後；延遲
landmark, [ˋlænd͵mɑrk] n.地標，陸標；重大事件，里程碑
magnetic, [mægˋnɛtɪk] a. 磁鐵的；磁性的，有魅力的
landscape, [ˋlænd͵skep] n.(陸上的)風景，景色
magnificent, [mægˋnɪfəsənt] a.壯麗的，宏偉的
landslide, [ˋlænd͵slaɪd] n.山崩；土石流
makeup, [ˋmekʌp] n.虛構
makeup, [ˋmekʌp] n.化妝品；補充；補考
largely, [ˋlɑrdʒlɪ] adv.大部分；主要地
manual, [ˋmænjʊəl] n.手冊，簡介 a.手的；手工的
monument, [ˋmɑnjəmənt] n.紀念碑，紀念塔，紀念館
manufacture, [͵mænjəˋfæktʃɚ] vt.vi.(大量)製造，加工
moreover, [morˋovɚ] adv.並且，加之，此外
manufacturer, [mæ njəˋfæktʃərɚ] n.製造業者，廠商
mostly, [ˋmostlɪ] adv.大多數地，大部分地
motivate, [ˋmotə͵vet] vt.給…動機；刺激；激發
marathon, [ˋmærə͵θɑn] n.【體】(可大寫)馬拉松賽跑
motivation, [͵motəˋveʃən] n.動機；刺激；推動
margin, [ˋmɑrdʒɪn] n.邊，邊沿，邊緣
maturity, [məˋtjʊrətɪ] n.成熟；完善
mountainous, [ˋmaʊntənəs] a.多山的；有山的
maximum, [ˋmæksəməm] n.最大量，最大數 a.最大的；最多的
mow, [mo] vt.vi.(用鐮刀等)刈(草等)
Music Television, n.音樂電視(字首大寫)
measure, [ˋmɛʒɚ] vt.測量；計量 n.措施；手段；方法
muddy, [ˋmʌdɪ] a.多爛泥的；泥濘的
multiple, [ˋmʌltəp!] a.複合的；多樣的
mechanic, [məˋkænɪk] n.機械工，技工
murderer, [ˋmɝdərɚ] n.謀殺犯，兇手
mechanical, [məˋkænɪk!] a.機械的，用機械的
murmur, [ˋmɝmɚ] n.低語聲；輕柔持續的聲音 vt.vi.私語，小聲說話
memorable, [ˋmɛmərəb!] a.值得懷念的；難忘的
memorial, [məˋmorɪəl] n.紀念物；紀念碑；紀念館
mustache, [ˋmʌstæ ʃ] n.髭，小鬍子
mutual, [ˋmjutʃʊəl] a.相互的，彼此的；共有(同)的
mercy, [ˋmɝsɪ] n.慈悲，憐憫；仁慈，寬容
mere, [mɪr] a.僅僅的，只不過的
mysterious, [mɪsˋtɪrɪəs] a.神祕的；不可思議的
merit, [ˋmɛrɪt] n.長處，優點[C]；功績，功勞
namely, [ˋnemlɪ] adv.即，那就是
messenger, [ˋmɛsndʒɚ] n.送信人；(電報郵件的)信差
nationality, [͵næʃəˋnælətɪ] n.國籍
nearsighted, [ˋnɪrˋsaɪtɪd] a.近視的；目光短淺的
messy, [ˋmɛsɪ] a.凌亂的; 雜亂的; 邋遢的
microscope, [ˋmaɪkrə͵skop] n.顯微鏡[C]
needy, [ˋnidɪ] a.貧窮的
mild, [maɪld] a.溫和的，溫柔的
neglect, [nɪgˋlɛkt] vt.n.忽視，忽略
mineral, [ˋmɪnərəl] n.礦物；礦泉水 a.礦物的
negotiate, [nɪˋgoʃɪ͵et] vt.vi.談判，協商
minimum, [ˋmɪnəməm] n.最小量，最小數[C]a.最小的，最少的，最低的
nevertheless, [͵nɛvɚðəˋlɛs] adv.不過，然而
nonetheless, [͵nʌnðəˋlɛs] adv. 不過，然而
nightmare, [ˋnaɪt͵mɛr] n.夢魘；惡夢
minister, [ˋmɪnɪstɚ] n.部長；大臣；牧師
nonsense, [ˋnɑnsɛns] n.胡說；胡鬧 int.胡說!廢話！
ministry, [ˋmɪnɪstrɪ] n.(常大寫)(政府的)部
mischief, [ˋmɪstʃɪf] n.頑皮，淘氣；胡鬧[U]
noun, [naʊn] n.【文】名詞
miserable, [ˋmɪzərəb!] a.不幸的；悲哀的
nowadays, [ˋnaʊə͵dez] adv.現今，時下
misfortune, [mɪsˋfɔrtʃən] n.不幸[U]；不幸的事
nuclear, [ˋnjuklɪɚ] a.核心的，中心的；原子核的
mislead, [mɪsˋlid] vt.誤導；把…引入歧途
numerous, [ˋnjumərəs] a.許多的，很多的
misunderstand, [ˋmɪsʌndɚˋstænd] vt.誤會；曲解
nursery, [ˋnɝsərɪ] n.幼兒室，育兒室；苗圃；養魚場
moderate, [ˋmɑdərɪt] a.適度的；有節制的；溫和的
nylon, [ˋnaɪlɑn] n.尼龍[U]
obedience, [əˋbidjəns] n.服從，順從[U]
modest, [ˋmɑdɪst] a.謙虛的，審慎的
obedient, [əˋbidjənt] a.服從的，順從的
modesty, [ˋmɑdɪstɪ] n.謙遜，虛心[U]
objection, [əbˋdʒɛkʃən] n.反對；異議
monitor, [ˋmɑnətɚ] n.監視器；(學校的)班長，級長 vt.監控；監聽
objective, [əbˋdʒɛktɪv] a.客觀的，無偏見的
objective, [əbˋdʒɛktɪv] n.目的，目標
observation, [͵ɑbzɝˋveʃən] n.觀察；觀測
monthly, [ˋmʌnθlɪ] a.每月的；每月一次的 adv.每月 n.月刊
obstacle, [ˋɑbstək!] n.障礙(物)；妨礙[C][(+to)]
obtain, [əbˋten] vt.得到，獲得
occasional, [əˋkeʒən!] a.偶爾的，非經常的
penalty, [ˋpɛn!tɪ] n.處罰；刑罰[U][C][(+for)]
occupation, [͵ɑkjəˋpeʃən] n.佔領[U]；職業[C]
percent, [pɚˋsɛnt] n.百分之一[C]；百分率
occupy, [ˋɑkjə͵paɪ] vt.佔領，佔據
offend, [əˋfɛnd] vt.冒犯；觸怒
percentage, [pɚˋsɛntɪdʒ] n.比例；部分
offense, [əˋfɛns] n.罪過；犯法(行為)[C]；進攻，攻擊
perfection, [pɚˋfɛkʃən] n.完美
perfume, [ˋpɝfjum] n.香水；香料
offensive, [əˋfɛnsɪv] a.冒犯的；進攻的
permanent, [ˋpɝmənənt] a.永久的，永恆的
opera, [ˋɑpərə] n.歌劇[C]；歌劇院[C]；歌劇藝術[U]
persuasion, [pɚˋsweʒən] n.說服，勸說[U]
operation, [͵ɑpəˋreʃən] n.操作；運轉[U]；手術
persuasive, [pɚˋswesɪv] a.勸說的；有說服力的
oppose, [əˋpoz] vt.vi.反對；反抗
pessimistic, [͵pɛsəˋmɪstɪk] a.悲觀的；悲觀主義的
oral, [ˋorəl] a.口頭的，口述的
orbit, [ˋɔrbɪt] n.(天體等的)運行軌道 vt.環繞(天體等)的軌道運行
petal, [ˋpɛt!] n.花瓣
phenomenon, [fəˋnɑmə͵nɑn] n.現象[C]
orchestra, [ˋɔrkɪstrə] n.管弦樂隊
organic, [ɔrˋgænɪk] a.有機體的，生物的；器官
philosopher, [fəˋlɑsəfɚ] n.哲學家
philosophical, [͵fɪləˋsɑfɪk!] a.哲學的、冷靜的、哲學上的
otherwise, [ˋʌðɚ͵waɪz] adv.否則、不然；用別的方法
philosophy, [fəˋlɑsəfɪ] n.哲學[U]；人生觀；主義[U][C]
outcome, [ˋaʊt͵kʌm] n.結果；結局
outstanding, [ˋaʊtˋstændɪŋ] a.顯著的；傑出的
photography, [fəˋtɑgrəfɪ] n.攝影術[U]
oval, [ˋov!] n.卵形(物)[C] a.橢圓形的
physical, [ˋfɪzɪk!] a.身體的，肉體的；物理(學)的
overcome, [͵ovɚˋkʌm] vt.vi.戰勝；克服
overlook, [͵ovɚˋlʊk] vt.vi.眺望，俯瞰；看漏，忽略
physician, [fɪˋzɪʃən] n.醫師；內科醫生(doctor)
overnight, [ˋovɚˋnaɪt] a.adv.整夜；一夜間，突然
physicist, [ˋfɪzɪsɪst] n.物理學家
physics, [ˋfɪzɪks] n.物理學
overtake, [͵ovɚˋtek] vt.vi.追上；趕上；超車
pianist, [pɪˋænɪst] n.鋼琴家；鋼琴演奏者
overthrow, [ˋovɚθro] vt.vi.打倒；推翻
pickpocket, [ˋpɪk͵pɑkɪt] n.扒手
oxygen, [ˋɑksədʒən] n.【化】氧；氧氣[U]
pioneer, [͵paɪəˋnɪr] n.拓荒者；先驅者 vt.開闢，倡導
pace, [pes] n.一步； 步速；速度 vi.踱步，慢慢地走
pirate, [ˋpaɪrət] n.海盜；劫掠者；剽竊者；盜版者 vt.vi.(以海盜方式)掠奪；盜版
panel, [ˋpæn!] n.嵌(鑲)板；【機】控制板；專門小組
plentiful, [ˋplɛntɪfəl] a.豐富的，充足的
parachute, [ˋpærə͵ʃut] n.降落傘
plot, [plɑt] n.陰謀；祕密計畫；(小說，戲劇等的)情節
paragraph, [ˋpærə͵græ f] n.(文章的)段，節
partial, [ˋpɑrʃəl] a.部分的，局部的；不公平的，偏袒的
plural, [ˋplʊrəl] n.複數[U] a.【文】複數的
participation, [pɑr͵tɪsəˋpeʃən] n.參加，參與
post meridiem, 下午；午後
participle, [ˋpɑrtəsəp!] n.【文】分詞[C]
Prime Minister, 首相；內閣總理
partnership, [ˋpɑrtnɚ͵ʃɪp] n.合夥(或合作)關係[U]
poisonous, [ˋpɔɪznəs] a.有毒的；有害的
polish, [ˋpɑlɪʃ] vt.vi.磨光，擦亮 n.磨光粉；擦亮劑
passive, [ˋpæsɪv] a.被動的；消極的
pasta, [ˋpɑstə] n.麵糰；義大利麵(包括通心粉，細麵條等)
pollution, [pəˋluʃən] n.汙染
popularity, [͵pɑpjəˋlærətɪ] n.普及；大眾化；聲望
pebble, [ˋpɛb!] n.小卵石[C]
peculiar, [pɪˋkjuljɚ] a.奇怪的；乖癖的
portable, [ˋportəb!] a.手提式的；輕便的
pedal, [ˋpɛd!] n.踏板；腳蹬
porter, [ˋportɚ] n.(車站，機場等的)搬運工人，腳夫
peer, [pɪr] n.(地位，能力等)同等的人；同輩 vt.與…相比，與…同等
portray, [porˋtre] vt.畫(人物，風景等)；(用語言)描寫
possess, [pəˋzɛs] vt.擁有，持有；具有；佔有
possession, [pəˋzɛʃən] n.擁有；佔有[U]；所有物；財產
prosperity, [prɑsˋpɛrətɪ] n.興旺，繁榮，昌盛，成功[U]
precise, [prɪˋsaɪs] a.精準的；確切的；恰好的
prosperous, [ˋprɑspərəs] a.興旺的，繁榮的，昌盛的
predict, [prɪˋdɪkt] vt.vi.預言；預料；預報
preferable, [ˋprɛfərəb!] a.更好的，更合意的[(+to)]
protein, [ˋprotiɪn] n.蛋白質
protest, [prəˋtɛst] vi.抗議，反對 
protest, [ˋprotɛst] n.抗議，反對
pregnancy, [ˋprɛgnənsɪ] n.懷孕
proverb, [ˋprɑvɝb] n.諺語，俗語
pregnant, [ˋprɛgnənt] a.懷孕的，懷胎的
psychological, [͵saɪkəˋlɑdʒɪk!] a.心理學的
preposition, [͵prɛpəˋzɪʃən] n.【文】介系詞，前置詞
psychologist, [saɪˋkɑlədʒɪst] n.心理學家
psychology, [saɪˋkɑlədʒɪ] n.心理學[U]
presentation, [͵prizɛnˋteʃən] n.贈送；顯示；演出
publication, [͵pʌblɪˋkeʃən] n.出版；發行[U]；出版物；刊物[C]
preservation, [͵prɛzɚˋveʃən] n.保護；保存；防腐
publicity, [pʌbˋlɪsətɪ] n.(公眾的)注意，名聲；宣傳
preserve, [prɪˋzɝv] vt.vi.保存，保藏；維護
publish, [ˋpʌblɪʃ] vt.vi.出版；發行
prevention, [prɪˋvɛnʃən] n.預防，防止[U]
publisher, [ˋpʌblɪʃɚ] n.出版(或發行)者
prime, [praɪm] a.最初的；原始的；主要的；首位的
pursuit, [pɚˋsut] n.追蹤，追擊；追求，尋求[U][(+of)]
primitive, [ˋprɪmətɪv] a.原始的；遠古的
quake, [kwek] n.vi.顫抖，哆嗦；震動
privacy, [ˋpraɪvəsɪ] n.私下；私事；私生活；隱私[U]
quilt, [kwɪlt] n.被(子)；被褥
quotation, [kwoˋteʃən] n.引用，引證[U]；引文；語錄[C]
privilege, [ˋprɪv!ɪdʒ] n.特權；優特
procedure, [prəˋsidʒɚ] n.程序；手續；步驟
rage, [redʒ] n.(一陣)狂怒，盛怒 vi.發怒，怒斥
proceed, [prəˋsid] vt.vi.繼續進行；開始，著手
rainfall, [ˋren͵fɔl] n.降雨，下雨
production, [prəˋdʌkʃən] n.生產；製作[U]
realistic, [rɪəˋlɪstɪk] a.現實的，注重實際的；現實主義的
productive, [prəˋdʌktɪv] a.生產的；多產的；肥沃的
rebel, [rɪˋbɛl]vi 造反；反叛
profession, [prəˋfɛʃən] n.(尤指受過專門訓練者，如律師，醫生，教師的)職業[C]
rebel, [ˋrɛb!] n.造反者；反抗者
recall, [rɪˋkɔl] n.vt.vi.回想，回憶
reception, [rɪˋsɛpʃən] n.接收；接待；歡迎；接待會
